time,equity
2025-02-01 17:00:00,11019.48
2025-02-02 18:00:00,11049.59
2025-02-03 19:00:00,11115.32
2025-02-04 20:00:00,11161.72
2025-02-05 21:00:00,11193.93
2025-02-06 22:00:00,11210.48
2025-02-07 23:00:00,11227.13
2025-02-09 00:00:00,11213.29
2025-02-10 01:00:00,11211.89
2025-02-11 02:00:00,11223.19
2025-02-12 03:00:00,11239.50
2025-02-13 04:00:00,11234.65
2025-02-14 05:00:00,11205.25
2025-02-15 06:00:00,11224.96
2025-02-16 07:00:00,11231.94
2025-02-17 08:00:00,11244.62
2025-02-18 09:00:00,11226.67
2025-02-19 10:00:00,11229.02
2025-02-20 11:00:00,11230.54
2025-02-21 12:00:00,11240.83
2025-02-22 13:00:00,11265.89
2025-02-23 14:00:00,11264.77
2025-02-24 15:00:00,11282.12
2025-02-25 16:00:00,11280.78
2025-02-26 17:00:00,11297.00
2025-02-27 18:00:00,11341.27
2025-02-28 19:00:00,11366.90
2025-03-01 20:00:00,11362.49
2025-03-02 21:00:00,11396.46
2025-03-03 22:00:00,11365.41
2025-03-04 23:00:00,11281.10
2025-03-06 00:00:00,11298.00
2025-03-07 01:00:00,11394.13
2025-03-08 02:00:00,11357.77
2025-03-09 03:00:00,11350.72
2025-03-10 04:00:00,11423.16
2025-03-11 05:00:00,11470.88
2025-03-12 06:00:00,11462.59
2025-03-13 07:00:00,11522.11
2025-03-14 08:00:00,11484.62
2025-03-15 09:00:00,11528.20
2025-03-16 10:00:00,11518.39
2025-03-17 11:00:00,11516.40
2025-03-18 12:00:00,11478.35
2025-03-19 13:00:00,11508.16
2025-03-20 14:00:00,11516.93
2025-03-21 15:00:00,11507.07
2025-03-22 16:00:00,11515.92
2025-03-23 17:00:00,11530.89
2025-03-24 18:00:00,11560.08
2025-03-25 19:00:00,11566.63
2025-03-26 20:00:00,11549.46
2025-03-27 21:00:00,11560.23
2025-03-28 22:00:00,11589.06
2025-03-29 23:00:00,11607.43
2025-03-31 00:00:00,11606.66
2025-04-01 01:00:00,11596.39
2025-04-02 02:00:00,11583.85
2025-04-03 03:00:00,11562.63
2025-04-04 04:00:00,11590.26
2025-04-05 05:00:00,11580.18
2025-04-06 06:00:00,11576.47
2025-04-07 07:00:00,11613.70
2025-04-08 08:00:00,11610.84
2025-04-09 09:00:00,11580.77
2025-04-10 10:00:00,11601.08
2025-04-11 11:00:00,11682.34
2025-04-12 12:00:00,11705.02
2025-04-13 13:00:00,11749.73
2025-04-14 14:00:00,11736.88
2025-04-15 15:15:00,11816.05
2025-04-16 16:15:00,11851.37
2025-04-17 17:15:00,11858.42
2025-04-18 18:15:00,11841.76
2025-04-19 19:15:00,11850.27
2025-04-20 20:15:00,11846.33
2025-04-21 21:15:00,11855.82
2025-04-22 22:15:00,11917.10
2025-04-23 23:15:00,11928.24
2025-04-25 00:15:00,11952.47
2025-04-26 01:15:00,11967.18
2025-04-27 02:15:00,11956.06
2025-04-28 03:15:00,11937.25
2025-04-29 04:15:00,11933.87
2025-04-30 05:15:00,11910.34
2025-05-01 06:15:00,11909.57
2025-05-02 07:15:00,11938.68
2025-05-03 08:15:00,11911.31
2025-05-04 09:15:00,11910.75
2025-05-05 10:15:00,11921.29
2025-05-06 11:15:00,11929.82
2025-05-07 12:15:00,11960.33
2025-05-08 13:15:00,11992.81
2025-05-09 14:15:00,12015.76
2025-05-10 15:15:00,12045.28
2025-05-11 16:15:00,12066.52
2025-05-12 17:15:00,12055.63
2025-05-13 18:15:00,12069.37
2025-05-14 19:15:00,12056.13
2025-05-15 20:15:00,12043.72
2025-05-16 21:15:00,12060.45
2025-05-17 22:15:00,12074.97
2025-05-18 23:15:00,12086.52
2025-05-20 00:15:00,12118.36
2025-05-21 01:15:00,12121.41
2025-05-22 02:15:00,12181.42
2025-05-23 03:15:00,12196.80
2025-05-24 04:15:00,12194.68
2025-05-25 05:15:00,12242.30
2025-05-26 06:15:00,12280.94
2025-05-27 07:15:00,12273.71
2025-05-28 08:15:00,12269.38
2025-05-29 09:15:00,12274.11
2025-05-30 10:15:00,12276.27
2025-05-31 11:15:00,12306.79
2025-06-01 12:15:00,12291.46
