id,symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,patterns
64,BTC-USDT,long,2024-11-19 02:00:00,90964.40,2024-11-19 12:15:00,92127.74,13.09,1.28,tp_hit,engulfing
65,BTC-USDT,long,2024-11-19 17:00:00,92729.10,2024-11-19 22:30:00,91655.97,-11.87,-1.16,sl_hit,three_white_soldiers
67,BTC-USDT,short,2024-11-20 02:00:00,91741.90,2024-11-20 05:15:00,92332.21,-6.59,-0.64,sl_hit,three_black_crows
68,BTC-USDT,long,2024-11-20 05:00:00,92077.80,2024-11-20 08:00:00,92863.84,8.75,0.85,tp_hit,three_white_soldiers
66,BTC-USDT,long,2024-11-19 23:00:00,91782.40,2024-11-20 08:45:00,93334.32,17.33,1.69,tp_hit,engulfing
69,BTC-USDT,long,2024-11-20 14:00:00,94319.80,2024-11-20 16:15:00,93588.69,-7.96,-0.78,sl_hit,three_white_soldiers
70,BTC-USDT,long,2024-11-20 23:00:00,94071.40,2024-11-21 03:15:00,95062.96,10.81,1.05,tp_hit,hammer
71,BTC-USDT,short,2024-11-21 02:00:00,94623.60,2024-11-21 03:15:00,95215.31,-6.41,-0.63,sl_hit,evening_star
72,BTC-USDT,long,2024-11-21 11:00:00,98207.70,2024-11-21 12:45:00,97579.96,-6.56,-0.64,sl_hit,three_white_soldiers
73,BTC-USDT,long,2024-11-22 02:00:00,98243.90,2024-11-22 03:15:00,99212.62,10.11,0.99,tp_hit,morning_star
75,BTC-USDT,short,2024-11-22 08:00:00,99076.70,2024-11-22 11:00:00,98276.92,8.29,0.81,tp_hit,engulfing
74,BTC-USDT,short,2024-11-22 05:00:00,98808.80,2024-11-22 13:15:00,97748.43,11.02,1.07,tp_hit,doji
76,BTC-USDT,short,2024-11-22 14:00:00,98049.80,2024-11-22 16:45:00,98862.61,-8.53,-0.83,sl_hit,three_black_crows
78,BTC-USDT,long,2024-11-22 20:00:00,99256.10,2024-11-23 01:15:00,98426.03,-8.59,-0.84,sl_hit,engulfing
79,BTC-USDT,short,2024-11-23 02:00:00,98341.70,2024-11-23 03:15:00,98758.64,-4.35,-0.42,sl_hit,three_black_crows
81,BTC-USDT,short,2024-11-23 08:00:00,98464.70,2024-11-23 13:00:00,98786.10,-3.35,-0.33,sl_hit,three_black_crows
82,BTC-USDT,long,2024-11-23 14:00:00,98565.10,2024-11-23 16:00:00,98306.67,-2.69,-0.26,sl_hit,engulfing
77,BTC-USDT,short,2024-11-22 17:00:00,99151.70,2024-11-23 16:15:00,97603.89,16.04,1.56,tp_hit,shooting_star
80,BTC-USDT,long,2024-11-23 05:00:00,98519.70,2024-11-23 16:15:00,98075.86,-4.62,-0.45,sl_hit,engulfing
83,BTC-USDT,long,2024-11-23 20:00:00,97387.70,2024-11-24 01:00:00,98136.78,7.90,0.77,tp_hit,hammer
84,BTC-USDT,long,2024-11-24 02:00:00,98526.00,2024-11-24 04:30:00,98002.51,-5.46,-0.53,sl_hit,three_white_soldiers
85,BTC-USDT,long,2024-11-24 05:00:00,98278.80,2024-11-24 09:15:00,97914.91,-3.80,-0.37,sl_hit,hammer|engulfing
